iter	Passed	Remaining
402	10550	15628
403	10574	15599
404	10599	15571
405	10624	15543
406	10650	15517
407	10675	15490
408	10701	15463
409	10726	15435
410	10750	15406
411	10774	15376
412	10799	15349
413	10823	15320
414	10847	15291
415	10870	15260
416	10896	15234
417	10922	15207
418	10947	15180
419	10971	15150
420	10995	15122
421	11022	15096
422	11047	15069
423	11073	15043
424	11100	15017
425	11127	14992
426	11152	14965
427	11176	14936
428	11201	14909
429	11226	14881
430	11250	14852
431	11275	14824
432	11302	14799
433	11327	14772
434	11354	14748
435	11378	14718
436	11401	14689
437	11432	14669
438	11462	14648
439	11492	14627
440	11519	14601
441	11547	14578
442	11573	14551
443	11599	14525
444	11623	14496
445	11646	14467
446	11673	14441
447	11696	14412
448	11721	14384
449	11747	14358
450	11772	14330
451	11796	14301
452	11820	14273
453	11843	14244
454	11869	14216
455	11893	14188
456	11916	14159
457	11941	14131
458	11965	14103
459	11990	14075
460	12016	14049
461	12041	14022
462	12065	13993
463	12091	13967
464	12116	13941
465	12142	13914
466	12165	13884
467	12191	13858
468	12215	13830
469	12238	13800
470	12262	13772
471	12288	13746
472	12313	13718
473	12336	13690
474	12361	13663
475	12391	13640
476	12416	13613
477	12442	13587
478	12466	13559
479	12490	13531
480	12515	13504
481	12541	13477
482	12570	13455
483	12600	13433
484	12630	13411
485	12658	13388
486	12686	13364
487	12713	13338
488	12738	13311
489	12761	13282
490	12785	13254
491	12811	13228
492	12835	13199
493	12859	13171
494	12882	13142
495	12907	13116
496	12933	13089
497	12959	13063
498	12983	13035
499	13010	13010
500	13035	12983
501	13059	12955
502	13085	12929
503	13112	12904
504	13135	12875
505	13160	12848
506	13185	12821
507	13210	12794
508	13237	12769
509	13262	12742
510	13292	12720
511	13319	12694
512	13343	12667
513	13368	12640
514	13393	12613
515	13419	12586
516	13444	12560
517	13466	12530
518	13492	12504
519	13515	12475
520	13539	12448
521	13565	12421
522	13591	12396
523	13616	12369
524	13641	12342
525	13665	12314
526	13689	12286
527	13713	12258
528	13743	12236
529	13774	12215
530	13804	12192
531	13831	12167
532	13856	12140
533	13883	12115
534	13907	12087
535	13931	12060
536	13955	12032
537	13980	12005
538	14005	11978
539	14029	11950
540	14052	11922
541	14079	11897
542	14101	11867
543	14124	11839
544	14148	11812
545	14173	11784
546	14196	11756
547	14220	11729
548	14247	11703
549	14270	11675
550	14296	11650
551	14322	11624
552	14346	11596
553	14369	11568
554	14395	11542
555	14419	11514
556	14443	11487
557	14471	11463
558	14495	11435
559	14520	11408
560	14545	11381
561	14569	11354
562	14594	11328
563	14619	11301
564	14643	11274
565	14667	11246
566	14692	11219
567	14718	11194
568	14743	11167
569	14766	11139
570	14792	11114
571	14815	11085
572	14839	11058
573	14864	11031
574	14891	11007
575	14918	10981
576	14948	10959
577	14978	10935
578	15007	10912
579	15035	10887
580	15074	10871
581	15097	10843
582	15120	10814
583	15145	10788
584	15167	10759
585	15191	10732
586	15214	10704
587	15237	10676
588	15263	10650
589	15288	10624
590	15310	10595
591	15331	10566
592	15355	10539
593	15380	10512
594	15402	10484
595	15423	10455
596	15448	10428
597	15473	10402
598	15500	10376
599	15524	10349
600	15547	10321
601	15571	10294
602	15595	10267
603	15619	10240
604	15645	10214
605	15668	10187
606	15691	10159
607	15712	10130
608	15735	10102
609	15757	10074
610	15780	10046
611	15802	10018
