iter	Logloss
0	0.5934631396
1	0.5087577747
2	0.4376594919
3	0.383862077
4	0.3388962626
5	0.2988785591
6	0.270004598
7	0.2420248643
8	0.2233672131
9	0.2032873229
10	0.1869657053
11	0.1726499364
12	0.1622111862
13	0.1517965911
14	0.1449912532
15	0.1376097169
16	0.1306270606
17	0.1258339634
18	0.1213641716
19	0.1176633612
20	0.1135972814
21	0.1098274511
22	0.1056884095
23	0.10198891
24	0.09976878511
25	0.09754208321
26	0.09560496327
27	0.09420812396
28	0.09279984473
29	0.09006526348
30	0.08848445274
31	0.08675056811
32	0.08424802202
33	0.08272028171
34	0.08161290775
35	0.08024616472
36	0.079071106
37	0.07802088785
38	0.0770171967
39	0.07598865216
40	0.07482686764
41	0.07402640024
42	0.07163508736
43	0.0697915528
44	0.06901929674
45	0.06840245069
46	0.06743395318
47	0.06632023932
48	0.06506415615
49	0.06453887422
50	0.06400231415
51	0.06306921769
52	0.06267628296
53	0.06208587358
54	0.06162651702
55	0.06095975299
56	0.0605607973
57	0.05986199406
58	0.05929110407
59	0.0587952935
60	0.05827237091
61	0.05775023157
62	0.05694324439
63	0.05626608327
64	0.05577233708
65	0.05523684054
66	0.05479673853
67	0.05414729323
68	0.05365643618
69	0.05322794195
70	0.05297665319
71	0.0524809466
72	0.05206315929
73	0.05131188898
74	0.05092163642
75	0.05068996036
76	0.05002166131
77	0.04968020321
78	0.04918413218
79	0.04887832548
80	0.04843788345
81	0.04809900145
82	0.04729510733
83	0.0467436374
84	0.04625499531
85	0.04610960357
86	0.04573967489
87	0.04554791802
88	0.04521164048
89	0.0449350696
90	0.04447724367
91	0.04408047205
92	0.04371577971
93	0.04341510614
94	0.04300727552
95	0.04265360648
96	0.04232666975
97	0.0421121099
98	0.04194311146
99	0.04165880741
100	0.04129527277
101	0.04094426504
102	0.04081979882
103	0.0407605389
104	0.0403146253
105	0.04012381446
106	0.03993929828
107	0.03963904013
108	0.03926421323
109	0.03901541265
110	0.03887879028
111	0.03864034945
112	0.03843980673
113	0.03833145087
114	0.03816469283
